experiment,algorithm,zipf_s,alpha,N,F1,space,update_time_s,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh,fixed_ratio,window_size,dataset
baseline_comparison,LearnedISS±,2.0,8.0,500000,33334,674,0.16931254201335832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,7,,,
baseline_comparison,MisraGries,2.0,8.0,500000,33334,245,0.051235334016382694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,7,,,
baseline_comparison,CountMin,2.0,8.0,500000,33334,1360,0.6010093339718878,0.05714285714285714,2.0,0.0,1.7142514292571293e-06,5.999880002399952e-05,0.0,7.666365452690226e-06,5.579776806695821e-08,1.0,1.0,1.0,7,7,,,
fixed_ratio_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.2676057089702226,3.1682242990654204,62.0,1.0,1.900930777577697e-05,0.000371999256001488,5.999988000024e-06,3.972362586437439e-05,5.329562681727955e-06,1.0,1.0,1.0,11,11,0.05,,
fixed_ratio_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.2614372079842724,2.6955941255006675,72.0,1.0,1.6173532405939196e-05,0.000431999136001728,5.999988000024e-06,3.0924541756204504e-05,4.268214927123218e-06,1.0,1.0,1.0,11,11,0.1,,
fixed_ratio_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.26504016696708277,2.684646194926569,81.0,1.0,1.6107844953869507e-05,0.000485999028001944,5.999988000024e-06,3.324079501693643e-05,4.540913836326491e-06,1.0,1.0,1.0,11,11,0.2,,
fixed_ratio_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.33550483296858147,2.621361815754339,56.0,1.0,1.572813943824716e-05,0.000335999328001344,5.999988000024e-06,3.0896864051770986e-05,4.226779092866721e-06,1.0,1.0,1.0,11,11,0.3,,
fixed_ratio_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.35950387502089143,3.015487316421896,82.0,1.0,1.8092887712755954e-05,0.000491999016001968,5.999988000024e-06,4.046803438711392e-05,6.898868404498787e-06,1.0,1.0,1.0,11,11,0.5,,
fixed_ratio_sweep,IntegratedSS± (baseline),1.5,2.0,500000,166667,200,0.0,5.980240320427236,111.0,1.0,3.5881370159823106e-05,0.000665998668002664,5.999988000024e-06,0.00011039485079008168,1.4207703169130493e-05,1.0,1.0,1.0,11,11,0.0,,
window_size_sweep,LearnedISS±,1.5,2.0,500000,166667,190,0.4511705000186339,2.664619492656876,81.0,1.0,1.5987684980571295e-05,0.000485999028001944,5.999988000024e-06,3.2680400013632026e-05,4.609853560567319e-06,1.0,1.0,1.0,11,11,,200.0,
window_size_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.35317887499695644,2.681441922563418,95.0,1.0,1.6088619358141792e-05,0.00056999886000228,5.999988000024e-06,3.357686561096872e-05,4.676885292440123e-06,1.0,1.0,1.0,11,11,,500.0,
window_size_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.26513966696802527,2.684646194926569,81.0,1.0,1.6107844953869507e-05,0.000485999028001944,5.999988000024e-06,3.324079501693643e-05,4.540913836326491e-06,1.0,1.0,1.0,11,11,,1000.0,
window_size_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.2506188330007717,2.668090787716956,92.0,1.0,1.6008512709276317e-05,0.000551998896002208,5.999988000024e-06,3.089950849884945e-05,4.155283378849863e-06,1.0,1.0,1.0,11,11,,2000.0,
window_size_sweep,LearnedISS±,1.5,2.0,500000,166667,200,0.2501749580260366,3.2128170894526034,56.0,1.0,1.927686398298765e-05,0.000335999328001344,5.999988000024e-06,4.062746601038696e-05,5.2997188011035965e-06,1.0,1.0,1.0,11,11,,5000.0,
uniform_comparison,IntegratedSS±,,2.0,500000,166667,200,3.11373983300291,6.872030841935083,833.0,3.0,4.123210258740532e-05,0.004997990004019992,1.7999964000072e-05,0.00032103458956088307,5.2412118351316946e-05,1.0,1.0,1.0,0,0,,,Uniform
uniform_comparison,LearnedISS±,,2.0,500000,166667,200,2.915025959024206,4.513576255026323,324.0,3.0,2.7081403367351206e-05,0.001943996112007776,1.7999964000072e-05,0.00011359124262131447,3.412055551764145e-05,1.0,1.0,1.0,0,0,,,Uniform
