algorithm,N,alpha,F1,stream_len,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
LearnedISS±,500000,2.0,166667,499999,200,200,1.0614604160073213,2.1229250778647986,3.3925954053540917,196.0,1.0,2.035553172106111e-05,0.001175997648004704,5.999988000024e-06,5.130732692339809e-05,7.668786524823225e-05,1.0,1.0,1.0,8,8
MisraGries,500000,4.0,71429,499999,186,400,0.06226533302105963,0.12453091510394947,3.049712483769245,123.0,1.0,4.269571859845784e-05,0.0017219896680619917,1.3999916000503996e-05,0.00013680014293467727,0.0008325758610596946,1.0,0.875,0.9333333333333333,8,7
LazySS±,500000,4.0,71429,499999,400,400,0.46631437505129725,0.9326306153638252,4.610894701044951,123.0,1.0,6.455213850179832e-05,0.0017219896680619917,1.3999916000503996e-05,0.00023767044834708902,0.00017074805501719287,1.0,1.0,1.0,8,8
SS±,500000,4.0,71429,499999,400,400,0.46802524995291606,0.9360523720105761,4.610894701044951,123.0,1.0,6.455213850179832e-05,0.0017219896680619917,1.3999916000503996e-05,0.00023767044834708902,0.00017074805501719287,1.0,1.0,1.0,8,8
DoubleSS±,500000,4.0,71429,499999,400,400,1.677563334000297,3.3551333782673503,13.399245656340815,1086.0,1.0,0.00018758831365888948,0.01520390877654734,1.3999916000503996e-05,0.0014962138486427849,0.000785765154789855,0.047619047619047616,1.0,0.0909090909090909,8,168
IntegratedSS±,500000,4.0,71429,499999,400,400,0.7463347499724478,1.492672485289866,4.610894701044951,123.0,1.0,6.455213850179832e-05,0.0017219896680619917,1.3999916000503996e-05,0.00023767044834708902,0.00017074805501719287,1.0,1.0,1.0,8,8
CountMin,500000,4.0,71429,499999,1360,1360,0.6512316660373472,1.3024659370065683,113.80207753663514,315.0,115.0,0.0015932195261957344,0.004409973540158759,0.0016099903400579596,0.0016321703415191487,0.001588652468113191,0.8,1.0,0.888888888888889,8,10
α-CountMin,500000,4.0,71429,499999,3264,3264,0.41844962496543303,0.8369009237327135,23.729301922958015,190.0,23.0,0.0003322082336720102,0.0026599840400957594,0.00032199806801159195,0.00035146014060755587,0.00031060472473212145,1.0,1.0,1.0,8,8
CountSketch,500000,4.0,71429,499999,150000,150000,1.0633547499892302,2.1267137534059675,0.1296605453533667,18.0,0.0,1.8152367435266728e-06,0.0002519984880090719,0.0,6.615213738370854e-06,2.2671047946608484e-06,1.0,1.0,1.0,8,8
α-CountSketch,500000,4.0,71429,499999,90000,90000,0.6699793330044486,1.339961345931589,0.46225190131700983,41.0,0.0,6.471487789511401e-06,0.0005739965560206639,0.0,1.7355844754289176e-05,6.189213729212438e-06,1.0,1.0,1.0,8,8
