algorithm,N,alpha,F1,stream_len,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
α-CountSketch,1000000,2.0,333333,999999,120000,120000,1.8155615840223618,1.8155633995857614,1.4602024031893837,99.0,1.0,4.380611590179741e-06,0.000297000297000297,3.000003000003e-06,9.313474809705076e-06,6.48649297297946e-06,1.0,1.0,1.0,8,8
LearnedISS±,1000000,2.0,333333,999999,200,200,2.3180392920039594,2.3180416100455696,4.873456187794474,447.0,2.0,1.4620383183766607e-05,0.001341001341001341,6.000006000006e-06,4.359624385008576e-05,7.41317982635224e-05,1.0,1.0,1.0,8,8
MisraGries,1000000,4.0,142857,999999,172,400,0.12715870898682624,0.1271588361456624,4.072578647510528,246.0,1.0,2.850807904065274e-05,0.001722001722001722,7.000007000007e-06,0.00011189692982062356,0.0008348580347152345,1.0,0.875,0.9333333333333333,8,7
LazySS±,1000000,4.0,142857,999999,400,400,0.9411864170106128,0.941187358197971,6.115349682107175,246.0,1.0,4.280749058224081e-05,0.001722001722001722,7.000007000007e-06,0.0001929598714839719,0.00015608951817888027,1.0,1.0,1.0,8,8
SS±,1000000,4.0,142857,999999,400,400,0.9429102499852888,0.9429111928964817,6.115349682107175,246.0,1.0,4.280749058224081e-05,0.001722001722001722,7.000007000007e-06,0.0001929598714839719,0.00015608951817888027,1.0,1.0,1.0,8,8
DoubleSS±,1000000,4.0,142857,999999,400,400,3.361151917022653,3.361155278177931,17.694079762199653,2171.0,1.0,0.00012385868219407976,0.015197015197015197,7.000007000007e-06,0.001216509082897632,0.0008775430490852206,0.047619047619047616,1.0,0.0909090909090909,8,168
IntegratedSS±,1000000,4.0,142857,999999,400,400,1.5129445420461707,1.5129460549922258,6.115349682107175,246.0,1.0,4.280749058224081e-05,0.001722001722001722,7.000007000007e-06,0.0001929598714839719,0.00015608951817888027,1.0,1.0,1.0,8,8
CountMin,1000000,4.0,142857,999999,1360,1360,1.311657042009756,1.3116583536681097,229.17186854925274,618.0,234.0,0.001604204684049453,0.004326004326004326,0.001638001638001638,0.0016439435586312844,0.0016118329396642675,0.8,1.0,0.888888888888889,8,10
α-CountMin,1000000,4.0,142857,999999,3264,3264,0.8443581250030547,0.8443589693620241,48.42164148294938,381.0,46.0,0.000338951829332475,0.002667002667002667,0.000322000322000322,0.00035490803914430355,0.0003206923623844041,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,1000000,4.0,142857,999999,150000,150000,2.1653874169569463,2.1653895823465286,0.2972504334902155,21.0,0.0,2.0807551151866238e-06,0.000147000147000147,0.0,5.6413811528703434e-06,2.8281386562744845e-06,1.0,1.0,1.0,8,8
α-CountSketch,1000000,4.0,142857,999999,90000,90000,1.3725342499674298,1.3725356225030523,0.9137560895054083,91.0,0.0,6.3962990228368805e-06,0.000637000637000637,0.0,1.7987494020284735e-05,8.534837069665605e-06,1.0,1.0,1.0,8,8
LearnedISS±,1000000,4.0,142857,999999,400,400,1.9394723330042325,1.939474272478505,2.8081909008339525,150.0,1.0,1.965735596319363e-05,0.00105000105000105,7.000007000007e-06,4.122611469722354e-05,4.452036204067956e-05,1.0,1.0,1.0,8,8
MisraGries,1000000,8.0,66667,999999,438,800,0.12636770796962082,0.12636783433745516,2.664774951076321,51.0,1.0,3.997142440902277e-05,0.0007649961750191249,1.4999925000374999e-05,9.401240014823344e-05,0.00042820716791761563,1.0,0.875,0.9333333333333333,8,7
LazySS±,1000000,8.0,66667,999999,800,800,0.8014546249760315,0.8014554264314578,3.863144161774299,51.0,1.0,5.794687269225102e-05,0.0007649961750191249,1.4999925000374999e-05,0.00015038827392090635,7.952050479296406e-05,1.0,1.0,1.0,8,8
SS±,1000000,8.0,66667,999999,800,800,0.7842652089893818,0.784265993255375,3.863144161774299,51.0,1.0,5.794687269225102e-05,0.0007649961750191249,1.4999925000374999e-05,0.00015038827392090635,7.952050479296406e-05,1.0,1.0,1.0,8,8
DoubleSS±,1000000,8.0,66667,999999,800,800,5.76267187501071,5.762677637688348,20.521656881930856,922.0,1.0,0.0003078233141123922,0.013829930850345748,1.4999925000374999e-05,0.00192848914124808,0.0007395075299062132,0.02564102564102564,1.0,0.05,8,312
IntegratedSS±,1000000,8.0,66667,999999,800,800,1.2264403750305064,1.2264416014721078,3.863144161774299,51.0,1.0,5.794687269225102e-05,0.0007649961750191249,1.4999925000374999e-05,0.00015038827392090635,7.952050479296406e-05,1.0,1.0,1.0,8,8
CountMin,1000000,8.0,66667,999999,1360,1360,1.3082529170205817,1.308254225274807,105.92850619699935,250.0,106.0,0.0015889196483567485,0.0037499812500937494,0.0015899920500397498,0.00162987463067955,0.0016027082478774536,0.8,1.0,0.888888888888889,8,10
α-CountMin,1000000,8.0,66667,999999,4350,4350,0.5903982080053538,0.5903987984041522,10.4529028049576,206.0,9.0,0.00015679275811057342,0.0030899845500772494,0.00013499932500337497,0.00019349795922031455,0.00014966287836747476,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,1000000,8.0,66667,999999,150000,150000,2.287498749967199,2.2875010374682363,0.11441617742987606,8.0,0.0,1.7162340802777395e-06,0.00011999940000299999,0.0,6.0936607289137694e-06,2.67612323870071e-06,1.0,1.0,1.0,8,8
α-CountSketch,1000000,8.0,66667,999999,60000,60000,0.963190917042084,0.9631918802339642,1.6785388127853882,2868.0,0.0,2.5177956301999312e-05,0.0430197849010755,0.0,0.0005368614710715673,3.6483160167486244e-05,0.8,1.0,0.888888888888889,8,10
LearnedISS±,1000000,8.0,66667,999999,800,800,5.618187957967166,5.618193576160742,1.9373776908023483,34.0,1.0,2.9060520059434925e-05,0.0005099974500127499,1.4999925000374999e-05,4.3511370750463185e-05,3.092616573756947e-05,1.0,1.0,1.0,8,8
MisraGries,2000000,1.5,1000000,1999998,50,150,0.5453645410016179,0.2726825431833521,16.56471653609637,5217.0,4.0,1.656471653609637e-05,0.005217,4e-06,0.00013790478520582104,0.002014916024,1.0,0.625,0.7692307692307693,8,5
LazySS±,2000000,1.5,1000000,1999998,150,150,4.241579374996945,2.1207918082902806,30.68953752843063,6650.0,4.0,3.0689537528430624e-05,0.00665,4e-06,0.0003361966478112097,0.000976378203,0.8,1.0,0.888888888888889,8,10
SS±,2000000,1.5,1000000,1999998,150,150,4.959770083019976,2.4798875213975093,26.2625305366018,5247.0,4.0,2.6262530536601803e-05,0.005247,4e-06,0.0002645371083354145,0.000456510859,1.0,1.0,1.0,8,8
DoubleSS±,2000000,1.5,1000000,1999998,150,150,3.230603499978315,1.6153033652925228,35.51587903293741,17045.0,4.0,3.551587903293741e-05,0.017045,4e-06,0.0005910257626807007,0.001426294337,0.10666666666666667,1.0,0.1927710843373494,8,75
IntegratedSS±,2000000,1.5,1000000,1999998,150,150,7.892666833999101,3.946337363336914,26.2625305366018,5247.0,4.0,2.6262530536601803e-05,0.005247,4e-06,0.0002645371083354145,0.000456510859,1.0,1.0,1.0,8,8
CountMin,2000000,1.5,1000000,1999998,1360,1360,2.590350332960952,1.2951764616569377,1613.8815601044562,4456.0,1671.0,0.001613881560104456,0.004456,0.001671,0.0016520264636148746,0.001618348317,0.8,1.0,0.888888888888889,8,10
α-CountMin,2000000,1.5,1000000,1999998,1632,1632,2.1304719170439057,1.0652370237589766,967.5584407379328,3893.0,913.0,0.0009675584407379328,0.003893,0.000913,0.001000971920606993,0.001003635928,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,2000000,1.5,1000000,1999998,150000,150000,4.241454457980581,2.12072934971964,2.5907674163928904,346.0,2.0,2.59076741639289e-06,0.000346,2e-06,5.491176555586213e-06,2.958131e-06,1.0,1.0,1.0,8,8
α-CountSketch,2000000,1.5,1000000,1999998,120000,120000,3.4489240829716437,1.7244637659495878,4.464072108499705,293.0,2.0,4.464072108499705e-06,0.000293,2e-06,9.279841023128556e-06,6.79645e-06,1.0,1.0,1.0,8,8
LearnedISS±,2000000,1.5,1000000,1999998,150,150,5.331499042047653,2.665752186776013,11.370440569454974,1726.0,4.0,1.1370440569454972e-05,0.001726,4e-06,4.122198187953434e-05,8.4676308e-05,1.0,1.0,1.0,8,8
MisraGries,2000000,2.0,666667,1999999,98,200,0.6397560409968719,0.3198781804375262,11.422207176709547,2523.0,3.0,1.713330219841322e-05,0.003784498107750946,4.499997750001125e-06,0.00012179089067135921,0.0015668552871443212,1.0,0.75,0.8571428571428571,8,6
LazySS±,2000000,2.0,666667,1999999,200,200,4.610937999968883,2.3054701527195176,22.60503272399007,3618.0,3.0,3.390753213221904e-05,0.005426997286501357,4.499997750001125e-06,0.0003254401920702501,0.000998729235270515,0.8,1.0,0.888888888888889,8,10
SS±,2000000,2.0,666667,1999999,200,200,5.708885332976934,2.8544440937105136,17.65691717445272,2532.0,3.0,2.6485362518997824e-05,0.0037979981010009497,4.499997750001125e-06,0.00022447459075093,0.0003388331934167219,1.0,1.0,1.0,8,8
DoubleSS±,2000000,2.0,666667,1999999,200,200,4.021383124985732,2.01069256783915,30.527352742044684,11008.0,3.0,4.5791006217563915e-05,0.01651199174400413,4.499997750001125e-06,0.000706125817032854,0.0010464019175978208,0.08791208791208792,1.0,0.16161616161616163,8,91
IntegratedSS±,2000000,2.0,666667,1999999,200,200,8.746966832957696,4.37348560322165,17.65691717445272,2532.0,3.0,2.6485362518997824e-05,0.0037979981010009497,4.499997750001125e-06,0.00022447459075093,0.0003388331934167219,1.0,1.0,1.0,8,8
CountMin,2000000,2.0,666667,1999999,1360,1360,2.5727271659998223,1.2863642261820243,1076.7070638682012,2973.0,1108.0,0.0016150597882724075,0.004459497770251115,0.0016619991690004156,0.0016529477257349325,0.0016181428653567302,0.8,1.0,0.888888888888889,8,10
α-CountMin,2000000,2.0,666667,1999999,2176,2176,2.177792500006035,1.0888967944514147,495.6108553373956,1785.0,489.0,0.0007434159112981376,0.002677498661250669,0.0007334996332501834,0.0007606707492490268,0.0007139707597790617,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,2000000,2.0,666667,1999999,150000,150000,4.2448129580006935,2.122407540204117,1.6786955540510042,221.0,1.0,2.5180420720554705e-06,0.0003314998342500829,1.499999250000375e-06,5.468979475978286e-06,2.7584837415155688e-06,1.0,1.0,1.0,8,8
α-CountSketch,2000000,2.0,666667,1999999,120000,120000,3.440271125000436,1.7201364225684292,2.948250959151433,196.0,2.0,4.422374227540037e-06,0.0002939998530000735,2.99999850000075e-06,9.327251897805304e-06,7.428552071446071e-06,1.0,1.0,1.0,8,8
LearnedISS±,2000000,2.0,666667,1999999,200,200,5.004655416996684,2.502328959662822,7.861317986910404,924.0,3.0,1.1791971084380066e-05,0.0013859993070003465,4.499997750001125e-06,3.911093336639819e-05,7.135009489988726e-05,1.0,1.0,1.0,8,8
MisraGries,2000000,4.0,285715,1999999,109,400,0.48454037500778213,0.2422703086390454,5.852798955768489,496.0,2.0,2.0484745133326876e-05,0.00173599566001085,6.99998250004375e-06,9.445562779583328e-05,0.0008337820238346697,1.0,0.875,0.9333333333333333,8,7
LazySS±,2000000,4.0,285715,1999999,400,400,3.8660276670125313,1.9330148000136655,9.546204277789315,555.0,2.0,3.3411631443184e-05,0.0019424951437621407,6.99998250004375e-06,0.00018461742246932158,0.00023682813935782304,0.8888888888888888,1.0,0.9411764705882353,8,9
SS±,2000000,4.0,285715,1999999,400,400,2.4611498750164174,1.230575552795985,8.825595538283544,493.0,2.0,3.08895071602245e-05,0.0017254956862607844,6.99998250004375e-06,0.00016398978310363862,0.00015261947565166787,1.0,1.0,1.0,8,8
DoubleSS±,2000000,4.0,285715,1999999,400,400,6.711641625035554,3.3558224904290226,25.050550298139964,4342.0,2.0,8.767670685172273e-05,0.015196962007594982,6.99998250004375e-06,0.0010209255449420273,0.0008524674679073325,0.048484848484848485,1.0,0.09248554913294797,8,165
IntegratedSS±,2000000,4.0,285715,1999999,400,400,3.8868053749902174,1.9434036591969384,8.825595538283544,493.0,2.0,3.08895071602245e-05,0.0017254956862607844,6.99998250004375e-06,0.00016398978310363862,0.00015261947565166787,1.0,1.0,1.0,8,8
CountMin,2000000,4.0,285715,1999999,1360,1360,2.601853625033982,1.3009274629807224,460.0854371236168,1264.0,473.0,0.0016102950041951487,0.00442398894002765,0.0016554958612603468,0.0016484139458181272,0.0016078564252078249,0.8,1.0,0.888888888888889,8,10
α-CountMin,2000000,4.0,285715,1999999,3264,3264,1.6765887080109678,0.8382947731528705,99.05772938977721,708.0,94.0,0.000346701186111255,0.0024779938050154874,0.00032899917750205625,0.0003614393688976575,0.00032438823930677605,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,2000000,4.0,285715,1999999,150000,150000,4.281122249958571,2.140562195260383,0.6686938206413717,94.0,0.0,2.3404225211884978e-06,0.00032899917750205625,0.0,5.755010941059545e-06,2.3088684556432915e-06,1.0,1.0,1.0,8,8
α-CountSketch,2000000,4.0,285715,1999999,90000,90000,2.6572216670028865,1.3286114978071921,1.7654335637366876,168.0,1.0,6.179002025573342e-06,0.000587998530003675,3.499991250021875e-06,1.727462826142282e-05,7.298256258673093e-06,1.0,1.0,1.0,8,8
LearnedISS±,2000000,4.0,285715,1999999,400,400,4.147753500030376,2.073877786954082,3.9568661188406655,381.0,2.0,1.3848996793450346e-05,0.0013334966662583343,6.99998250004375e-06,3.320590088687785e-05,4.0300509997198136e-05,1.0,1.0,1.0,8,8
MisraGries,2000000,8.0,133334,1999998,781,800,0.24639945902163163,0.12319985271066851,3.511949793672627,102.0,1.0,2.6339491755085925e-05,0.0007649961750191249,7.499962500187499e-06,7.586994698171691e-05,0.0004265986027533075,1.0,1.0,1.0,8,8
LazySS±,2000000,8.0,133334,1999998,800,800,1.571310208993964,0.7856558901528721,5.142365887207703,103.0,1.0,3.856755131630119e-05,0.0007724961375193124,7.499962500187499e-06,0.00012300587734925608,7.195692417895929e-05,1.0,1.0,1.0,8,8
SS±,2000000,8.0,133334,1999998,800,800,1.5807998329983093,0.7904007068998615,5.142365887207703,103.0,1.0,3.856755131630119e-05,0.0007724961375193124,7.499962500187499e-06,0.00012300587734925608,7.195692417895929e-05,1.0,1.0,1.0,8,8
DoubleSS±,2000000,8.0,133334,1999998,800,800,11.368138999969233,5.6840751840598,27.160892365887207,1844.0,1.0,0.000203705674215783,0.013829930850345748,7.499962500187499e-06,0.0015692841466770043,0.0007061141513408337,0.025559105431309903,1.0,0.049844236760124616,8,313
IntegratedSS±,2000000,8.0,133334,1999998,800,800,2.4969356670044363,1.2484690819713,5.142365887207703,103.0,1.0,3.856755131630119e-05,0.0007724961375193124,7.499962500187499e-06,0.00012300587734925608,7.195692417895929e-05,1.0,1.0,1.0,8,8
CountMin,2000000,8.0,133334,1999998,1360,1360,2.609523207996972,1.3047629087613946,212.6919704264099,593.0,216.0,0.0015951818022890626,0.004447477762611187,0.0016199919000404997,0.001633511141654497,0.0015976871418386393,0.8,1.0,0.888888888888889,8,10
α-CountMin,2000000,8.0,133334,1999998,4350,4350,1.172724875039421,0.5863630238827343,21.27815508940853,428.0,18.0,0.00015958536524373774,0.0032099839500802497,0.00013499932500337497,0.000190633606849984,0.00013303453215135263,1.0,1.0,1.0,8,8
CountSketch,2000000,8.0,133334,1999998,150000,150000,4.288493250031024,2.1442487692642813,0.27557599724896836,42.0,0.0,2.0668096453190362e-06,0.00031499842500787496,0.0,6.107417892814302e-06,2.132753672409957e-06,1.0,1.0,1.0,8,8
α-CountSketch,2000000,8.0,133334,1999998,60000,60000,1.8427073329803534,0.9213545878447645,2.2732977991746903,5888.0,1.0,1.704964824556895e-05,0.044159779201104,7.499962500187499e-06,0.00032730232498305367,3.1625514994059424e-05,0.8888888888888888,1.0,0.9411764705882353,8,9
LearnedISS±,2000000,8.0,133334,1999998,800,800,10.09049287502421,5.045251482763588,2.4111932599724897,78.0,1.0,1.8083859030498518e-05,0.0005849970750146249,7.499962500187499e-06,3.075865789080087e-05,2.4301163237760094e-05,1.0,1.0,1.0,8,8
