dataset,algorithm,alpha,N,F1,distinct,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
Zipf_s2.0,LazySS±,1.5,499998,250000,688,150,150,0.05854762496892363,0.11709571832072055,3.6686046511627906,26.0,1.0,1.4674418604651163e-05,0.000104,4e-06,2.7303632946789757e-05,2.50928e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,SS±,1.5,499998,250000,688,150,150,0.058427374984603375,0.11685521739007632,3.6686046511627906,26.0,1.0,1.4674418604651163e-05,0.000104,4e-06,2.7303632946789757e-05,2.50928e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,DoubleSS±,1.5,499998,250000,688,150,150,0.07540229195728898,0.1508051871353265,9.911337209302326,157.0,1.0,3.9645348837209306e-05,0.000628,4e-06,0.0001171644640149349,2.38376e-06,1.0,1.0,1.0,7,7
Zipf_s2.0,IntegratedSS±,1.5,499998,250000,688,150,150,0.07113912503700703,0.14227881918929083,3.6686046511627906,26.0,1.0,1.4674418604651163e-05,0.000104,4e-06,2.7303632946789757e-05,2.50928e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,CountMin,1.5,499998,250000,688,1360,1360,0.6044043329893611,1.2088135012327272,1.5799418604651163,14.0,1.0,6.319767441860465e-06,5.6e-05,4e-06,9.607409930954095e-06,4.041008e-06,1.0,1.0,1.0,7,7
Zipf_s2.0,α-CountMin,1.5,499998,250000,688,1632,1632,0.5007478329935111,1.00149967198571,1.2325581395348837,23.0,1.0,4.930232558139535e-06,9.2e-05,4e-06,1.0753041754626651e-05,3.22416e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,CountSketch,1.5,499998,250000,688,150000,150000,1.0160795000265352,2.0321671287215852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,7
Zipf_s2.0,α-CountSketch,1.5,499998,250000,688,120000,120000,0.8171709579764865,1.6343484533467865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,7
Zipf_s2.0,LearnedISS±,1.5,499998,250000,688,145,150,0.18670987494988367,0.37342124358474166,1.7863372093023255,22.0,1.0,7.145348837209303e-06,8.8e-05,4e-06,1.1103110814877147e-05,9.88e-08,1.0,1.0,1.0,7,7
Uniform,MisraGries,1.5,499998,250000,49665,110,150,0.168207207985688,0.33641576163442255,5.03151112453438,16.0,5.0,2.0126044498137522e-05,6.4e-05,2e-05,2.19669521053365e-05,2.3975152e-05,1.0,1.0,1.0,0,0
Uniform,LazySS±,1.5,499998,250000,49665,150,150,1.539542916987557,3.0790981503677153,11.513762206785463,2157.0,5.0,4.6055048827141846e-05,0.008628,2e-05,0.00047354005629825766,5.6397984e-05,1.0,1.0,1.0,0,0
Uniform,SS±,1.5,499998,250000,49665,150,150,1.7866363750072196,3.573287043162612,10.029396959629517,1666.0,5.0,4.011758783851807e-05,0.006664,2e-05,0.00036565128119321036,4.8967328e-05,1.0,1.0,1.0,0,0
Uniform,DoubleSS±,1.5,499998,250000,49665,150,150,1.1185122079914436,2.2370333641163436,12.565569314406524,4999.0,5.0,5.026227725762609e-05,0.019996,2e-05,0.0007765493068271687,6.1075872e-05,0.0,1.0,0.0,0,75
Uniform,IntegratedSS±,1.5,499998,250000,49665,150,150,2.915845125040505,5.831713576935318,10.029396959629517,1666.0,5.0,4.011758783851807e-05,0.006664,2e-05,0.00036565128119321036,4.8967328e-05,1.0,1.0,1.0,0,0
Uniform,CountMin,1.5,499998,250000,49665,1360,1360,0.6412275419570506,1.2824602137549561,877.0040068458674,961.0,878.0,0.003508016027383469,0.003844,0.003512,0.0035090378699147323,0.003508005648,1.0,1.0,1.0,0,0
Uniform,α-CountMin,1.5,499998,250000,49665,1632,1632,0.5325959579786286,1.0651961767419642,581.6720829558038,652.0,583.0,0.0023266883318232155,0.002608,0.002332,0.002327884802112807,0.002326760768,1.0,1.0,1.0,0,0
Uniform,CountSketch,1.5,499998,250000,49665,150000,150000,1.0544862920069136,2.108981019937907,2.4710560757072386,13.0,2.0,9.884224302828954e-06,5.2e-05,8e-06,1.3306506788920526e-05,9.903776e-06,1.0,1.0,1.0,0,0
